t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.5,0.0,1,1,1,-1.9984014443252798e-15,0.9325303245017987
-1.5,0.01139240506329114,1,1,2,-3.996802888650556e-15,0.9055330357604838
-1.5,0.02278481012658228,1,1,3,-3.5527136788004946e-15,0.877584000277549
-1.5,0.03417721518987342,1,1,4,-5.107025913275707e-15,0.848668748051619
-1.5,0.04556962025316456,1,1,5,-6.883382752675947e-15,0.8187757837996418
-1.5,0.056962025316455694,1,1,6,-6.217248937900858e-15,0.7878969981789422
-1.5,0.06835443037974684,1,1,7,-3.330669073875464e-15,0.7560280775488999
-1.5,0.07974683544303797,1,1,8,-4.218847493575586e-15,0.723168902602466
-1.5,0.09113924050632911,1,1,9,-1.3766765505351846e-14,0.6893239253728812
-1.5,0.10253164556962026,1,1,10,-1.0214051826551388e-14,0.6545025137507695
-1.5,0.11392405063291139,1,1,11,-4.218847493575586e-15,0.6187192528187252
-1.5,0.12531645569620253,1,1,12,-5.995204332975827e-15,0.5819941930085307
-1.5,0.13670886075949368,1,1,13,-5.329070518200737e-15,0.5443530359828764
-1.5,0.14810126582278482,1,1,14,-3.5527136788004946e-15,0.5058272488749767
-1.5,0.15949367088607594,1,1,15,-3.5527136788004946e-15,0.4664540910067994
-1.5,0.17088607594936708,1,1,16,-9.103828801926243e-15,0.42627650566773934
-1.5,0.18227848101265823,1,1,17,-2.2204460492503107e-15,0.38534270340982146
-1.5,0.19367088607594937,1,1,18,-3.774758283725525e-15,0.343704787199048
-1.5,0.20506329113924052,1,1,19,-3.996802888650556e-15,0.30141402593306127
-1.5,0.21645569620253163,1,1,20,-4.6629367034256464e-15,0.25850418630867317
-1.5,0.22784810126582278,1,1,21,-5.329070518200737e-15,0.2149330214547495
-1.5,0.23924050632911392,1,1,22,-1.976196983832759e-14,0.17037872783307112
-1.5,0.25063291139240507,1,1,23,-4.218847493575586e-15,0.12348861661425485
-1.5,0.2620253164556962,1,1,24,-5.995204332975827e-15,0.06776241571098932
-1.5,0.27341772151898736,1,1,25,-5.107025913275707e-15,7.993605777301096e-15
-1.5,0.2848101265822785,0,0,26,-5.7731597280507974e-15,4.440892098500617e-15
-1.5,0.29620253164556964,0,0,27,-6.4392935428258874e-15,4.218847493575586e-15
-1.5,0.30759493670886073,0,0,28,-2.664535259100372e-15,5.995204332975827e-15
-1.5,0.3189873417721519,0,0,29,-3.774758283725525e-15,8.881784197001213e-15
-1.5,0.330379746835443,0,0,30,-4.6629367034256464e-15,7.105427357600977e-15
-1.5,0.34177215189873417,0,0,31,-2.664535259100372e-15,9.32587340685127e-15
-1.5,0.3531645569620253,0,0,32,-2.8865798640254027e-15,6.661338147750917e-15
-1.5,0.36455696202531646,0,0,33,-2.664535259100372e-15,5.995204332975827e-15
-1.5,0.3759493670886076,0,0,34,-5.7731597280507974e-15,8.659739592076183e-15
-1.5,0.38734177215189874,0,0,35,-4.218847493575586e-15,6.883382752675947e-15
-1.5,0.3987341772151899,0,0,36,-6.4392935428258874e-15,2.664535259100372e-15
-1.5,0.41012658227848103,0,0,37,-8.659739592076183e-15,5.329070518200737e-15
-1.5,0.4215189873417722,0,0,38,-1.7763568394002489e-15,4.6629367034256464e-15
-1.5,0.43291139240506327,0,0,39,-4.6629367034256464e-15,7.549516567451036e-15
-1.5,0.4443037974683544,0,0,40,-8.437694987151153e-15,3.5527136788004946e-15
-1.5,0.45569620253164556,0,0,41,-3.5527136788004946e-15,5.551115123125767e-15
-1.5,0.4670886075949367,0,0,42,-4.440892098500617e-15,2.664535259100372e-15
-1.5,0.47848101265822784,0,0,43,-5.995204332975827e-15,2.8865798640254027e-15
-1.5,0.489873417721519,0,0,44,-2.2204460492503107e-15,5.329070518200737e-15
-1.5,0.5012658227848101,0,0,45,-5.7731597280507974e-15,3.1086244689504336e-15
-1.5,0.5126582278481012,0,0,46,-2.8865798640254027e-15,4.6629367034256464e-15
-1.5,0.5240506329113924,0,0,47,-3.1086244689504336e-15,8.437694987151153e-15
