t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.5,0.0,1,1,1,-1.0508420333606237,0.1028687082720936
-1.5,0.01139240506329114,1,1,2,-1.0197483248034673,0.09687269011751973
-1.5,0.02278481012658228,1,1,3,-0.9873337081144883,0.09314257212941478
-1.5,0.03417721518987342,1,1,4,-0.9536172533547814,0.08939288909636353
-1.5,0.04556962025316456,1,1,5,-0.9186351618945836,0.08522408379805531
-1.5,0.056962025316455694,1,1,6,-0.8824401982397796,0.08085882269285184
-1.5,0.06835443037974684,1,1,7,-0.8451000450073911,0.07645482313392005
-1.5,0.07974683544303797,1,1,8,-0.8066947113385424,0.07260545295992005
-1.5,0.09113924050632911,1,1,9,-0.7673132659364825,0.06930541733815265
-1.5,0.10253164556962026,1,1,10,-0.7270502564803069,0.06571225443343602
-1.5,0.11392405063291139,1,1,11,-0.6860021974673198,0.06194519822373755
-1.5,0.12531645569620253,1,1,12,-0.6442644604826065,0.06652492295256072
-1.5,0.13670886075949368,1,1,13,-0.6019288052301323,0.06312971714534922
-1.5,0.14810126582278482,1,1,14,-0.5590816752436891,0.052010791486171576
-1.5,0.15949367088607594,1,1,15,-0.5158032711092261,0.047278210634403725
-1.5,0.17088607594936708,1,1,16,-0.4721673044404698,0.045785979393731045
-1.5,0.18227848101265823,1,1,17,-0.42824121163489204,0.04344384205964456
-1.5,0.19367088607594937,1,1,18,-0.38408671306314246,0.03976287756292315
-1.5,0.20506329113924052,1,1,19,-0.3397628386841666,0.03877412418812811
-1.5,0.21645569620253163,1,1,20,-0.29534362911099205,0.0378385041926537
-1.5,0.22784810126582278,1,1,21,-0.25097393995553313,0.03709508328667663
-1.5,0.23924050632911392,1,1,22,-0.20687381442605823,0.03680566643488494
-1.5,0.25063291139240507,1,1,23,-0.16273579107233532,0.036736552944744545
-1.5,0.2620253164556962,1,1,24,-0.1158349472028661,0.03315075941024174
-1.5,0.27341772151898736,1,1,25,-0.053516792991070816,0.026291827979330402
-1.5,0.2848101265822785,1,1,26,-0.029122481534200113,0.02825411762070608
-1.5,0.29620253164556964,0,0,27,-0.028765871199925287,0.03591238267538655
-1.5,0.30759493670886073,0,0,28,-0.028571008605925673,0.01099354882815619
-1.5,0.3189873417721519,0,0,29,-0.028936499627212002,0.014369862159656093
-1.5,0.330379746835443,0,0,30,-0.03192601683583916,0.018315294233366662
-1.5,0.34177215189873417,0,0,31,-0.03261304142657598,0.02259050999328259
-1.5,0.3531645569620253,0,0,32,-0.034612818251508415,0.026352306552952443
-1.5,0.36455696202531646,0,0,33,-0.03641730147376526,0.034661684292425374
-1.5,0.3759493670886076,0,0,34,-0.03777595630247388,0.049777013310737375
-1.5,0.38734177215189874,0,0,35,-0.03814191711211599,0.08765054463576813
-1.5,0.3987341772151899,0,0,36,-0.03959442217170518,0.06607037978708437
-1.5,0.41012658227848103,0,0,37,-0.039392668499671386,0.052190670490252535
-1.5,0.4215189873417722,0,0,38,-0.038943462397066766,0.04347305318914133
-1.5,0.43291139240506327,0,0,39,-0.04026533579962015,0.044826064090408124
-1.5,0.4443037974683544,0,0,40,-0.03942239231905447,0.04621443177002173
-1.5,0.45569620253164556,0,0,41,-0.038128363172812,0.04766983779093457
-1.5,0.4670886075949367,0,0,42,-0.03893939598665789,0.04966061098505959
-1.5,0.47848101265822784,0,0,43,-0.03647752634513851,0.051817828639349646
-1.5,0.489873417721519,0,0,44,-0.035324400141061106,0.054100203803589375
-1.5,0.5012658227848101,0,0,45,-0.03983975678013905,0.05638062277221402
-1.5,0.5126582278481012,0,0,46,-0.05079101257250966,0.05838855575420174
-1.5,0.5240506329113924,0,0,47,-0.044696750592117265,0.059672541266057914
-1.5,0.5354430379746835,0,0,48,-0.038894971550450595,0.060374587251514324
-1.5,0.5468354430379747,0,0,49,-0.04350841398492654,0.06062096436177197
-1.5,0.5582278481012658,0,0,50,-0.05203766668692827,0.05972591317001662
-1.5,0.569620253164557,0,0,51,-0.04561412789478633,0.05822970430703244
-1.5,0.5810126582278481,0,0,52,-0.035633808666065636,0.05708078345539918
-1.5,0.5924050632911393,0,0,53,-0.02981655111133447,0.057249449215712324
-1.5,0.6037974683544304,0,0,54,-0.02572974052215461,0.05937303983248595
-1.5,0.6151898734177215,0,0,55,-0.02268650520441757,0.0643433859279029
-1.5,0.6265822784810127,0,0,56,-0.020476324438578854,0.07496181702786277
-1.5,0.6379746835443038,0,0,57,-0.01884924503616795,0.07345296330056704
-1.5,0.649367088607595,0,0,58,-0.01758364265581313,0.06256994415346327
-1.5,0.660759493670886,0,0,59,-0.016477343173420256,0.053274305267722644
-1.5,0.6721518987341772,0,0,60,-0.015384202727195408,0.04668411707763423
-1.5,0.6835443037974683,0,0,61,-0.01418869279534479,0.04176372777863954
-1.5,0.6949367088607595,0,0,62,-0.012841251625669422,0.03794563879812593
-1.5,0.7063291139240506,0,0,63,-0.011361629572646225,0.03482364852437539
-1.5,0.7177215189873418,0,0,64,-0.010056330996241512,0.032142062837790975
-1.5,0.7291139240506329,0,0,65,-0.008784608115986792,0.02994166262500603
-1.5,0.740506329113924,0,0,66,-0.007653074292219977,0.027927002178269242
-1.5,0.7518987341772152,0,0,67,-0.006661901596078676,0.026014578384166022
-1.5,0.7632911392405063,0,0,68,0.00012547566047616652,0.024318590282495323
-1.5,0.7746835443037975,0,0,69,9.3206502497704e-05,0.022670734354172627
-1.5,0.7860759493670886,0,0,70,5.983839622757594e-05,0.02104685085268132
-1.5,0.7974683544303798,0,0,71,2.0844419413658052e-05,0.01953085180323927
-1.5,0.8088607594936709,0,0,72,3.2810632468410896e-07,0.01798118562937455
-1.5,0.8202531645569621,0,0,73,2.0508095050639943e-05,0.016486599649636016
-1.5,0.8316455696202532,0,0,74,2.9509283521934982e-05,0.014974375101364316
-1.5,0.8430379746835444,0,0,75,1.9326224954521486e-05,0.013493085402211134
-1.5,0.8544303797468354,0,0,76,8.82868770897509e-06,0.012005910642514462
-1.5,0.8658227848101265,0,0,77,4.012016746458543e-06,0.010570418701051274
-1.5,0.8772151898734177,0,0,78,6.664630035385545e-06,0.009182601603011346
-1.5,0.8886075949367088,0,0,79,5.4087130402948184e-05,0.007864535793184012
-1.5,0.9,0,0,80,8.422187867829243e-05,0.0066447476864485155
-1.4620253164556962,0.0,1,1,81,-1.0508420333606237,0.1028687082720936
-1.4620253164556962,0.01139240506329114,1,1,82,-1.0203342833879083,0.09696195594506644
-1.4620253164556962,0.02278481012658228,1,1,83,-0.988535815030763,0.09327647455260282
-1.4620253164556962,0.03417721518987342,1,1,84,-0.9554635198411999,0.08960644405549081
-1.4620253164556962,0.04556962025316456,1,1,85,-0.9211506614170939,0.08551146710222196
-1.4620253164556962,0.056962025316455694,1,1,86,-0.8856464560087527,0.08120935978192877
-1.4620253164556962,0.06835443037974684,1,1,87,-0.8490146482923684,0.07685687929573144
-1.4620253164556962,0.07974683544303797,1,1,88,-0.8113311863701939,0.07300964300943961
-1.4620253164556962,0.09113924050632911,1,1,89,-0.7726812314546884,0.0697839199673393
-1.4620253164556962,0.10253164556962026,1,1,90,-0.7331558271097208,0.06625255286101629
-1.4620253164556962,0.11392405063291139,1,1,91,-0.6928485805061566,0.06253445753340496
-1.4620253164556962,0.12531645569620253,1,1,92,-0.6518526729456415,0.0632838100258043
-1.4620253164556962,0.13670886075949368,1,1,93,-0.6102584353438109,0.06548411006652807
-1.4620253164556962,0.14810126582278482,1,1,94,-0.5681516216871292,0.05406470227138479
-1.4620253164556962,0.15949367088607594,1,1,95,-0.5256124113049621,0.04756630046595156
-1.4620253164556962,0.17088607594936708,1,1,96,-0.4827150730468528,0.04601329619151352
-1.4620253164556962,0.18227848101265823,1,1,97,-0.43952811969319333,0.044083903195419945
-1.4620253164556962,0.19367088607594937,1,1,98,-0.3961148115975459,0.04119710018059452
-1.4620253164556962,0.20506329113924052,1,1,99,-0.35253522892045763,0.03888734044899207
-1.4620253164556962,0.21645569620253163,1,1,100,-0.3088577541117051,0.03794563680276309
-1.4620253164556962,0.22784810126582278,1,1,101,-0.2651980003002651,0.04089590803046876
-1.4620253164556962,0.23924050632911392,1,1,102,-0.2217439357838457,0.036593999350615636
-1.4620253164556962,0.25063291139240507,1,1,103,-0.17840308059024,0.03619283720313028
-1.4620253164556962,0.2620253164556962,1,1,104,-0.13347963153971004,0.0340885561752457
-1.4620253164556962,0.27341772151898736,1,1,105,-0.08013617516113664,0.029291811616071285
-1.4620253164556962,0.2848101265822785,1,1,106,-0.02920200333378554,0.029500599520398605
-1.4620253164556962,0.29620253164556964,1,0,107,-0.03005166618020124,0.04024503234473966
-1.4620253164556962,0.30759493670886073,0,0,108,-0.030924976253440782,0.02416753910343621
-1.4620253164556962,0.3189873417721519,0,0,109,-0.029068305443831807,0.018901111026051208
-1.4620253164556962,0.330379746835443,0,0,110,-0.03508331936369798,0.018210896195324046
-1.4620253164556962,0.34177215189873417,0,0,111,-0.03252780819533087,0.02252126396014782
